,PlayerId,Name,Position
14977,4066268,D. Reath,C
16497,4066808,T. Moore,G
16785,4277812,A. Reese,F
17153,4277880,M. Williams,C
19031,4278352,J. Crutcher,G
19242,4278412,I. Brockington,G
19903,4280181,S. Rice,G
20220,4395623,T. Jemison,C
21297,4396676,D. Dennis,G
22207,4397104,M. Norris,F
22287,4397127,J. Bernard,SG
22428,4397148,T. Allen,F
22688,4397233,P. Nance,PF
22710,4397347,L. Robbins,C
22711,4397371,N. Mensah,C
22920,4397537,T. Kinsey,G
22924,4397554,M. Nowell,G
22927,4397650,A. Funk,G
22939,4397654,A. Flagler,F
23017,4397689,D. Peterson,F
23475,4423884,H. Drell,F
23581,4431673,M. Hurt,F
24262,4431727,I. Wong,G
24544,4431786,K. Johnson,F
24723,4431893,J. Battle,F
24728,4432070,Q. Olivari,G
25589,4432187,R. Beekman,G
25753,4432241,J. Shead,G
25758,4432247,J. Clark,G
26182,4432735,D. Whitehead,F
26681,4432820,D.J. Carton,G
26877,4432827,O. Tshiebwe,C
26916,4432847,T. Shannon Jr.,G
27017,4432971,A. Ducas,G
27475,4433225,T. Kolek,G
27777,4433268,T. Alexander,G
27909,4433618,H. Ingram,F
28394,4565203,C. Bediako,C
28841,4592401,N. Dante,C
28921,4592461,J. Toppin,F
29111,4592686,A. Reeves,G
29163,4592699,E. Freeman,F
29168,4592714,P. Spencer,G
29191,4592933,M. Gueye,F
29502,4593841,B. Scheierman,F
29816,4597865,T. Evbuomwan,F
29839,4598307,D. Skapintsev,C
29847,4600663,Z. Edey,C
29852,4601023,O. Ighodaro,C
29856,4601025,P. Larsson,G
30535,4683747,J. Tyson,F
30651,4683771,R. Holland II,F
30656,4683774,B. James,G
30661,4683778,J. McCain,G
30665,4683834,K.J. Simpson,G
30739,4683940,T. Smith,G
30771,4684275,R. Dillingham,G
30955,4684793,K. Filipowski,F
31222,4701234,R. Council IV,G
31277,4702023,A. Sanogo,C
31302,4702159,D. Jones,F
31465,4702382,T. da Silva,F
31478,4708972,J. Gortman,G
31556,4711272,R. Sheppard,G
31560,4711294,M. Buzelis,F
31565,4711297,J. Edwards,F
31698,4845363,C. Christie,G
31699,4845367,S. Castle,G
31703,4845374,C. Carrington,G
31947,4871141,A. Hukporti,C
32108,4888725,R. Dunn,F
32112,4895758,C. Williams,F
32130,4897943,D. Knecht,G
32135,4900671,A. Mitchell,G
32305,4997536,G. Santos,F
32353,4997537,T. Vukcevic,PF
32365,4997538,K. Matkovic,C
32418,5061589,Y. Missi,C
32447,5090967,J. Galloway,F
32570,5104156,A. Traore,F
32747,5105565,D. Clingan,C
32807,5105623,K. Ware,C
32811,5105637,A. Bona,C
33119,5107199,D. Jenkins,G
33124,5107818,I. Jones,C
33128,5107897,J. Mogbo,F
33133,5112087,J. Wells,F
33138,5149711,J. Martin,G
33148,5157066,J. Furphy,F
33152,5159486,Y. Cui,G
33156,5159895,Y. Kawamura,G
33161,5160992,A. Sarr,PF
33165,5165257,T. Flowers,G
33166,5167876,T. Smith,F
33170,5170947,A. Johnson,G
33173,5174563,K. George,F
33177,5177362,R. Minix,F
33178,5184018,M. Pereira,F
33189,5211175,Z. Risacher,PF
33194,5211176,T. Salaun,F
33198,5211983,P. Dadiet,G
33202,5211984,U. Chomche,C
,4592427,S. Jones,F
,4897449,M. Leons,F
,4997539,L. Travers,G
,4684272,J. Walter,G
,3911893,J. McVeigh,G
,4432946,J. Bridges,F
,4683766,I. Collier,G
