"","PlayerId","Name","Team"
"202538",4066377,"Z. Simpson","OKC"
"202539",4066377,"Z. Simpson","MEM"
"208099",4066796,"D. Jarreau","IND"
"208102",4066796,"D. Jarreau","HOU"
"208103",4066796,"D. Jarreau","MEM"
"208116",4066808,"T. Moore","POR"
"211503",4277812,"A. Reese","OKC"
"214468",4277850,"R. Gray","SA"
"214473",4277850,"R. Gray","BKN"
"214704",4277880,"M. Williams","TOR"
"225700",4278352,"J. Crutcher","NO"
"226218",4278412,"I. Brockington","NO"
"228723",4279118,"K. Wallace","LAC"
"228724",4279118,"K. Wallace","ATL"
"229504",4280181,"S. Rice","SA"
"238959",4397071,"M. McClung","PHI"
"238960",4397071,"M. McClung","CHI"
"238965",4397071,"M. McClung","ORL"
"238970",4397071,"M. McClung","LAL"
"240896",4397148,"T. Allen","MEM"
"242329",4397347,"L. Robbins","MIL"
"242648",4397537,"T. Kinsey","UTAH"
"242655",4397650,"A. Funk","CHI"
"242665",4397654,"A. Flagler","OKC"
"246795",4431688,"J. Ramsey","SAC"
"246801",4431688,"J. Ramsey","TOR"
"248092",4431786,"K. Johnson","MIA"
"248968",4431893,"J. Battle","TOR"
"248972",4432070,"Q. Olivari","LAL"
"250728",4432173,"S. Cooper","ATL"
"250757",4432173,"S. Cooper","CLE"
"251394",4432187,"R. Beekman","GS"
"251812",4432241,"J. Shead","TOR"
"251816",4432247,"J. Clark","MIN"
"254595",4432820,"D.J. Carton","TOR"
"255120",4432847,"T. Shannon Jr.","MIN"
"255323",4432971,"A. Ducas","OKC"
"256437",4433225,"T. Kolek","NY"
"257036",4433268,"T. Alexander","DEN"
"257180",4433618,"H. Ingram","SA"
"259362",4592401,"N. Dante","HOU"
"259933",4592686,"A. Reeves","NO"
"260043",4592699,"E. Freeman","IND"
"260047",4592714,"P. Spencer","GS"
"260056",4592829,"Q. Jackson","IND"
"260059",4592829,"Q. Jackson","WSH"
"260739",4593841,"B. Scheierman","BOS"
"261420",4600663,"Z. Edey","MEM"
"261425",4601023,"O. Ighodaro","PHX"
"261429",4601025,"P. Larsson","MIA"
"263259",4683747,"J. Tyson","CLE"
"263423",4683771,"R. Holland II","DET"
"263428",4683774,"B. James","LAL"
"263433",4683778,"J. McCain","PHI"
"263436",4683834,"K.J. Simpson","CHA"
"263588",4684275,"R. Dillingham","MIN"
"263787",4684793,"K. Filipowski","UTAH"
"264420",4702159,"D. Jones","OKC"
"264819",4702382,"T. da Silva","ORL"
"264837",4708972,"J. Gortman","DAL"
"264923",4711272,"R. Sheppard","HOU"
"264927",4711294,"M. Buzelis","CHI"
"264932",4711297,"J. Edwards","PHI"
"265131",4845363,"C. Christie","LAC"
"265132",4845367,"S. Castle","SA"
"265136",4845374,"C. Carrington","WSH"
"265579",4871141,"A. Hukporti","NY"
"266142",4888725,"R. Dunn","PHX"
"266175",4895758,"C. Williams","UTAH"
"266196",4897943,"D. Knecht","LAL"
"266201",4900671,"A. Mitchell","OKC"
"266611",4997537,"T. Vukcevic","WSH"
"266623",4997538,"K. Matkovic","NO"
"266675",5061589,"Y. Missi","NO"
"266723",5090967,"J. Galloway","MIL"
"266857",5104156,"A. Traore","LAL"
"267051",5105565,"D. Clingan","POR"
"267114",5105623,"K. Ware","MIA"
"267118",5105637,"A. Bona","PHI"
"267457",5107199,"D. Jenkins","DET"
"267462",5107818,"I. Jones","SAC"
"267466",5107897,"J. Mogbo","TOR"
"267470",5112087,"J. Wells","MEM"
"267485",5157066,"J. Furphy","IND"
"267488",5159486,"Y. Cui","BKN"
"267492",5159895,"Y. Kawamura","MEM"
"267497",5160992,"A. Sarr","WSH"
"267501",5165257,"T. Flowers","LAC"
"267502",5167876,"T. Smith","MIL"
"267506",5170947,"A. Johnson","MIL"
"267509",5174563,"K. George","WSH"
"267513",5177362,"R. Minix","SA"
"267514",5184018,"M. Pereira","MEM"
"267525",5211175,"Z. Risacher","ATL"
"267530",5211176,"T. Salaun","CHA"
"267534",5211983,"P. Dadiet","NY"
"267538",5211984,"U. Chomche","TOR"
